id,nome_do_produto,nome_da_empresa,data_de_fabricacao,data_de_validade,numero_de_serie,instrucoes_de_armazenamento
759,"MENTHOL, CAPSAICIN","Preferred Pharmaceuticals, Inc.",2019-11-29,2023-06-20,GE24 TB68 3784 9882 0358 18,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu
760,Voriconazole,Greenstone LLC,2020-02-19,2022-12-18,ME88 1012 0483 7343 8897 28,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie
761,risperidone,Mylan Institutional Inc.,2020-04-28,2023-10-27,HU95 4499 9673 8106 9368 6845 2877,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus
762,"DOCUSATE SODIUM, SENNOSIDES","Premier Value (Chain Drug Consortium, LLC)",2019-11-25,2023-07-26,FR56 3022 4671 39MM JWGT CPCB L84,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus
763,thioridazine hydrochloride,Mylan Institutional Inc.,2020-03-14,2024-01-04,TN34 1535 7469 4405 9755 0776,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet
764,Coal Tar,Kmart Corporation,2019-11-21,2022-10-28,PT30 4128 7714 3549 6983 7193 8,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper
765,Metoclopramide,"Physicians Total Care, Inc.",2020-06-13,2024-04-12,AD04 8664 5135 JPFA DYPA CHPP,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet
766,OCTINOXATE OCTISALATE TITANIUM DIOXIDE,CLINIQUE LABORATORIES INC,2020-06-09,2023-10-26,GR68 6311 277W TDNH ZW9S WZQ0 DOV,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur
767,fluvastatin sodium,"Physicians Total Care, Inc.",2020-07-15,2023-01-28,FI76 0515 7092 6450 30,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum
768,Ranitidine,Unit Dose Services,2020-03-30,2024-02-27,FR59 5582 5933 64YM LPBH UKQ4 O77,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis
769,dasatinib,"E.R. Squibb & Sons, L.L.C.",2020-05-01,2023-08-11,FR26 4309 1385 29KB HFMO 7I8X R26,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer
770,Olanzapine,Jubilant Cadista Pharmaceuticals Inc,2020-05-11,2023-10-09,GR78 2460 663Z NMZS VF9M SWKP WKA,volutpat erat quisque erat eros viverra eget congue eget semper
771,Losartan Potassium,St Marys Medical Park Pharmacy,2020-06-17,2023-10-29,BH31 BBJR A8IK GL28 XQ5G IK,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis
772,providone iodine,Microdermis Corporation,2020-02-01,2022-11-18,GE96 OM59 9818 3113 4838 77,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel
773,Sodium Fluoride,"Mycone Dental Supply Co., Inc DBA Keystone Industries and Deepak Products Inc.",2020-06-15,2024-06-09,PT97 5122 8395 7044 5010 1804 7,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue
774,olanzapine,Mylan Pharmaceuticals Inc.,2020-01-06,2023-09-25,AZ55 RGHR NIKB CC6G A1HZ LTED TIE7,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia
775,Bisacodyl,Rite Aid,2019-09-17,2022-12-13,LU02 348C WXWW 2DQC BORW,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor
776,lamivudine,"Golden State Medical Supply, Inc.",2020-04-13,2023-02-04,DK09 4567 5697 7798 67,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat
777,Menthol and Methyl Salicylate,"Chattem, Inc.",2020-04-03,2023-05-18,HR89 0469 1183 0173 0053 8,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing
778,Pyrithione Zinc,Conopco Inc. d/b/a Unilever,2020-02-18,2023-01-02,MD41 WG53 CXGH 5XMA AF8H Q99F,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere
779,amoxicillin,"Pragma Pharmaceuticals, LLC",2019-09-27,2024-06-29,CZ06 5608 8016 8393 1065 6663,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
780,Pyrithione Zinc,Procter & Gamble Manufacturing Company,2020-05-23,2023-02-14,DE26 1944 6298 1509 4646 47,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue
781,dimethicone,"MPM Medical, Inc.",2020-04-21,2022-11-20,LU68 1232 T3HU TZAC KU0U,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor
782,Hydroxyzine,"Blenheim Pharmacal, Inc.",2020-04-12,2022-12-08,AT25 2434 0926 6079 2888,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat
783,Glyburide,West-Ward Pharmaceutical Corp,2019-12-21,2023-07-07,VG84 NVZD 8044 9183 6337 1319,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer
784,Famciclovir,AvPAK,2020-08-21,2023-01-21,FR46 0878 2606 870Z BAY5 YX2A Y63,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis
785,Meloxicam,"Physicians Total Care, Inc.",2019-09-11,2024-04-23,FR71 2019 1018 79UX QU7R IGJ0 V91,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis
786,juniperus monosperma pollen,"Allergy Laboratories, Inc.",2020-06-17,2024-05-28,KW05 JKLD JS5X DLCA RE59 BBHY 9QKS W6,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi
787,Alcohol,Ecolab Inc.,2020-08-17,2023-11-09,LU03 5129 SYOF W6BV STLC,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo
788,citalopram hydrobromide,"Physicians Total Care, Inc.",2020-07-15,2023-09-29,ES19 9380 9132 2457 6238 0049,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus
789,Tramadol Hydrochloride,REMEDYREPACK INC.,2020-08-19,2023-02-07,FR77 7233 6993 66QO 0LIP J17B A85,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo
790,Salicylic Acid,Blistex Inc,2019-12-27,2023-10-06,MD18 STXY UJ5H NAF8 8Y5X T5YX,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget
791,Cricket,"Antigen Laboratories, Inc.",2020-06-05,2023-03-07,MK20 056A 2XKK YBHM L44,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis
792,Triclosan,ALILY (ZHANGZHOU) BATH PRODUCTS LTD.,2019-10-30,2023-05-04,SE91 2375 9060 7364 3827 3899,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue
793,Cephalexin,Teva Pharmaceuticals USA Inc,2020-04-26,2023-12-10,LV44 SHHN ODPJ Z80N 0GAB Z,sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in
794,risperidone,Mylan Pharmaceuticals Inc.,2020-08-14,2023-02-23,ES88 0926 1845 1727 6237 0791,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel
795,CAFFEINE,Kinray Inc.,2020-07-30,2023-11-30,AL97 3575 5860 DUB0 VX1G S4A7 R2NT,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh
796,TRICLOSAN,KMART CORPORATION,2020-06-09,2023-12-06,PK48 FEVR HPLA XSDX RD79 A1DW,justo eu massa donec dapibus duis at velit eu est
797,Allantoin,Hickory Brands Inc.,2020-01-15,2023-04-20,GT60 M6DV 0PPU DUXI VWJE LZWH IHNM,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur
798,Zolmitriptan,"Glenmark Generics Inc.,USA",2020-04-10,2023-04-04,SK06 6952 5942 2043 2769 9779,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices
799,ALLANTOIN,"Pharmicell Co., Ltd.",2019-12-23,2023-03-13,BG39 TPOA 5283 07VX M8U0 DO,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl
800,Treatment Set TS342034,"Antigen Laboratories, Inc.",2019-10-08,2022-09-23,LI66 9610 5IQ1 URRF 3L6D G,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at
801,"GUAIFENESIN, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE","Chain Drug Consortium, LLC",2020-07-29,2023-03-28,BR08 7851 6616 3070 3226 5659 287U W,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer
802,"Arsenicum 30c, Bryonia 30c, Carbo Animalis 30c, Caulophyllum 30c, Causticum 30c, Cocculus 30c, Colchicum 30c, Guaiacum 30c, Ledum 30c, Lycopodium 30c, Petroleum 30c, Rhus Tox 30c, Sepia 30c, Silicea 30c, Sulphur",Home Sweet Homeopathics,2019-09-16,2024-05-30,GR43 6353 559F S2WQ SOUN I0NG R5O,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus
803,Fenofibric Acid,"Mutual Pharmaceutical Company, Inc.",2019-12-31,2024-01-11,MK49 029V HBYM TDVH B79,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus
804,"SALICYLIC ACID, BENZOYL PEROXIDE",Vivier Pharma,2020-07-03,2024-05-28,HU69 8541 6176 8749 7181 7967 8097,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel
805,Triclosan,"SJ Creations, Inc.",2020-04-22,2022-10-08,SA88 98HT MFSB MS4L SD2M 1IZG,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam
806,peginterferon alfa-2a,"Genentech, Inc.",2019-09-06,2024-02-03,AZ16 VICZ A8A9 A7KS GS4B NEAC WVQ4,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus
807,OCTINOXATE and ZINC OXIDE,Guthy-Renker LLC,2020-02-10,2023-12-28,PT81 7984 5196 7638 6041 5283 7,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
808,"Aluminum Hydroxide, Magnesium Hydroxide, Simethicone",Amerisource Bergen,2020-05-11,2024-05-24,BA07 2093 7087 5216 1272,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et
809,irbesartan,sanofi-aventis U.S. LLC,2019-10-02,2023-05-07,SM16 E374 3879 869L OXEQ PB0M 7BK,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere
810,"octinoxate, oxybenzone, octisalate, and homosalate","Tropical Seas, Inc.",2019-09-28,2023-12-16,LV26 OXXW OTFI 3KEH GV08 B,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus
811,Metformin Hydrochloride,"Carlsbad Technology, Inc.",2020-08-02,2022-11-29,GI25 ZCQN WD5Q ASAK FSSC FLF,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue
812,alprazolam,A-S Medication Solutions LLC,2019-09-05,2023-03-02,BA61 3339 3418 1233 8360,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede
813,Calcium Carbonate,Wal-Mart Stores Inc,2020-05-22,2024-04-06,BH11 JDIK T4N0 ELMR DU9G LK,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et
814,"Alpha-ketoglutaricum acidum, ATP, Formicum acidum, Malicum acidum, Sarcolacticum acidum, Dulcamara, Hyoscyamus niger, Phosphorus, Sabina, Acetylcholine chlorice, Adrrenalinum, Dopamine, Gaba, Norepine",Apotheca Company,2020-05-02,2024-02-11,TN82 5136 7227 4160 6402 5224,venenatis lacinia aenean sit amet justo morbi ut odio cras mi
815,Ioversol,Mallinckrodt Inc.,2019-12-21,2023-12-15,LB44 7429 UU33 SPHU 1P0M IJPI S0CR,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in
816,"Dextromethorphan Hydrobromide, GUAIFENESIN",Atlantic Biologicals Corps,2019-11-07,2023-12-26,SI95 4604 5521 8960 736,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus
817,artemisia frigida pollen,"Allergy Laboratories, Inc.",2020-04-20,2023-01-19,SI61 1009 3431 2411 213,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer
818,ETHYL ALCOHOL,Tween Brands Inc,2020-03-28,2024-06-15,TR86 9539 06XG X2JO JVUS RY3F IX,purus eu magna vulputate luctus cum sociis natoque penatibus et
819,Antiseptic handwash,Ecolab Inc.,2019-09-09,2023-08-25,ES67 8583 3390 8897 6365 3521,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare
820,MEPIVACAINE HYDROCHLORIDE,"APP Pharmaceuticals, LLC",2020-07-12,2024-04-06,VG84 BNMU 3463 1542 7546 3062,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet
821,Doxepin Hydrochloride,"Morton Grove Pharmaceuticals, Inc.",2019-10-01,2023-05-27,PL08 8048 3799 0164 1084 5750 4273,mattis odio donec vitae nisi nam ultrices libero non mattis
822,MAGNESIUM HYDROXIDE,Walgreens,2019-10-30,2023-09-08,CR52 8154 8223 4239 7412 3,amet cursus id turpis integer aliquet massa id lobortis convallis tortor
823,Famotidine,Walgreen Company,2020-05-25,2022-11-15,TR64 7447 0LEW BT7B TCSV THMH OB,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla
824,Arsenicum album 30,Uriel Pharmacy Inc.,2020-06-01,2023-08-06,FR94 5591 2523 93LU TAGM ON6C 491,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum
825,Fusarium compactum,"Nelco Laboratories, Inc.",2020-04-10,2023-05-29,CZ85 9483 2631 2788 4263 2497,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
826,Homatropine Hydrobromide,Altaire Pharmaceuticals Inc.,2019-11-01,2024-04-24,BG06 CWRK 1163 961C BZEU A4,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis
827,DIMETHICONE and ZINC OXIDE,"BioZone Laboratories, Inc.",2020-01-25,2022-08-28,FR52 9276 4649 776G SVAF PLV0 U97,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel
828,Lamotrigine,Hikma Pharmaceutical,2019-11-07,2023-11-03,IS63 1676 7351 6295 5170 5081 37,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla
829,dalteparin sodium,Eisai Inc.,2020-06-09,2023-09-09,IT21 I839 6982 201D 3V9P TBXY MLV,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus
830,Dextroamphetamine Sulfate,Barr Laboratories Inc.,2019-12-28,2024-03-30,MT50 QDMV 1102 0XHB RKFH 9WJ2 WRW8 DB2,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in
831,tavaborole,"Anacor Pharmaceuticals, Inc.",2020-01-27,2023-08-03,IS80 8405 4554 5723 2355 4769 59,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt
832,"cocoa butter, phenylephrine hcl",Safeway,2019-11-23,2023-02-14,FR85 9240 2511 12NG C6BG IXJO X86,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu
833,Ibuprofen,"Shopko Stores Operating Co., LLC.",2020-03-16,2024-03-11,EE41 0462 9405 6795 8549,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
834,Dextromethorphan Hydrobromide,H E B,2020-05-27,2024-03-14,IS71 0832 1853 1618 0468 4663 67,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum
835,Magnesium Chloride,The Torrance Company,2019-09-10,2022-09-09,NL04 IGAD 0582 5896 02,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci
836,NITROUS OXIDE,"Blue Water Industrial Products, Inc.",2020-01-11,2023-05-28,GI11 NJRF 6CQE DVKF 8PBN ZTI,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a
837,NOT APPLICABLE,Alternative Pharmacy,2020-03-12,2023-01-20,LT62 4884 5292 0536 0981,orci luctus et ultrices posuere cubilia curae mauris viverra diam
838,Phenol,Perrigo New York Inc,2020-05-02,2022-11-04,GT51 A1ZW 05XA Y7EO LL4S W0TC NZGO,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus
839,Octinoxate and Oxybenzone,Ventura Corporation LTD,2019-08-26,2023-12-14,SI45 8632 1288 6186 849,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est
840,Salicylic Acid,L'Oreal USA Products Inc,2020-06-07,2024-06-06,LI95 7763 9265 UZYK IL90 J,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque
841,Phentermine Hydrochloride,Bryant Ranch Prepack,2020-02-06,2022-10-18,VG89 PGDR 5636 4372 9332 4798,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue
842,HYDROQUINONE,CRC (Cosmoceutical Research Center),2020-03-21,2024-06-02,CY15 9454 5624 XTTK DASZ 3GK0 EMS6,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus
843,Not applicable,"BioActive Nutritional, Inc",2020-07-11,2023-04-19,CR72 6553 2678 6801 5437 0,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus
844,benztropine mesylate,REMEDYREPACK INC.,2020-04-06,2023-08-08,IE28 SHFB 7549 0708 8520 85,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas
845,"Dextromethorphan Hydrobromide, Doxylamine Succinate",McKesson,2020-07-01,2023-12-29,SA42 88ZO 8TZO ONCB S1OL SRMK,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia
846,TITANIUM DIOXIDE and ZINC OXIDE,NeoStrata Company Inc.,2019-09-22,2024-07-30,VG96 RRHS 1537 4636 1028 7563,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros
847,Docusate sodium,Physicians Science & Nature Inc.,2020-07-09,2023-06-08,AZ90 GEJB R9LT VOFU BBMA QFLZ QXM5,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
848,Neomycin sulfate,"Menper Distributors, Inc.",2020-01-17,2022-08-31,TN02 3563 7600 2982 3064 5554,aliquam non mauris morbi non lectus aliquam sit amet diam
849,modafinil,"Cephalon, Inc.",2020-06-21,2024-08-09,FR23 7083 4143 35LG GMKE OI0F Q10,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales
850,vardenafil hydrochloride,Bryant Ranch Prepack,2019-09-24,2023-12-04,CR18 6676 5001 1500 7573 0,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices
851,"AVOBENZONE, OCTINOXATE, and OXYBENZONE","Precision Dermatology, Inc.",2020-05-17,2024-06-30,GB43 CVEV 9613 5326 3925 06,dui proin leo odio porttitor id consequat in consequat ut nulla
852,clorazepate dipotassium,"PD-Rx Pharmaceuticals, Inc.",2020-04-27,2024-04-19,LU82 8072 COXM WAUI L2EN,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus
853,ISOPROPYL ALCOHOL,"Changzhou Maokang Medical Products Co., Ltd",2019-09-18,2024-02-18,AZ23 RGZS CBG0 WAMT YJGY TSXT VSL8,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut
854,Polyethylene Glycol 3350,CVS Pharmacy,2020-05-04,2023-10-07,MD79 4VEG 82OF R25O HZON IZGP,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat
855,levothyroxine sodium,Cardinal Health,2020-06-08,2023-10-20,CZ31 6673 8876 9740 8089 3929,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam
856,sennosides,Ideal Protein of America Inc.,2019-08-26,2024-07-13,LI05 0705 9A9E AU0Q ACKP 0,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est
857,DIMETHICONE,"SKINFOOD CO., LTD.",2019-12-13,2023-10-21,GR98 3835 600H PCBL EQON J9DY 4MS,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi
858,FLUOROURACIL,"Fresenius Kabi USA, LLC",2019-10-29,2023-05-28,CY46 2108 5103 BE2Z CV3W DOFG D9TL,condimentum neque sapien placerat ante nulla justo aliquam quis turpis
859,oxycodone hydrochloride,"Caraco Pharmaceutical Laboratories, Ltd.",2020-07-29,2023-03-02,DE76 6169 5830 9383 2662 72,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
860,Calcipotriene,"Warner Chilcott (US), LLC",2020-02-25,2022-10-17,CY48 8030 0480 6HTE TNVJ S71C 3LGG,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat
861,risperidone,"Janssen Pharmaceuticals, Inc.",2020-07-24,2023-09-18,SE91 8245 7143 8682 9407 9123,sed nisl nunc rhoncus dui vel sem sed sagittis nam
862,CHLORPHENIRAMINE MALEATE and PHENYLEPHRINE HYDROCHLORIDE,Clinical Solutions Wholesale,2020-08-14,2024-03-12,IL50 0954 5885 5424 2586 747,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis
863,MERCURIUS VIVUS,White Manufacturing Inc. DBA Micro-West,2020-08-07,2024-06-21,FR58 2593 6898 45OI FCFC LQIR Y37,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac
864,benzocaine,"H and P Industries, Inc. dba Triad Group",2020-06-10,2022-11-16,BR68 9624 6678 9018 8713 7960 727K G,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque
865,"Acetaminophen, Diphenhydramine HCl and Phenylephrine HCl","WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",2020-07-02,2024-06-22,FR92 0431 4761 09ND CQT0 SR30 H82,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue
866,CALENDULA OFFICINALIS FLOWERING TOP,Laboratoires Boiron,2020-07-29,2023-01-21,LB97 7430 FZ05 CBTC TBY3 SDIM CE8J,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi
867,"omeprazole, sodium bicarbonate","Prasco, Laboratories",2019-09-03,2024-04-29,NL63 OBXG 8664 6762 18,semper rutrum nulla nunc purus phasellus in felis donec semper sapien
868,Acetaminophen,Costco Wholesale Company,2019-12-24,2024-08-11,CH85 2702 9PDD 8ARF S9RG Q,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante
869,Diltiazem Hydrochloride,"AvKARE, Inc.",2020-03-02,2023-01-06,BE30 0978 0260 8890,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla
870,meclizine hydrochloride,Cardinal Health,2020-04-13,2023-05-26,NL14 SSZS 0694 7264 26,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel
871,Furosemide,Cardinal Health,2020-01-13,2024-02-06,PL91 1108 0368 8669 4375 4143 2374,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim
872,TERBUTALINE SULFATE,"AvKARE, Inc.",2020-02-11,2024-04-23,TN54 0062 9760 3762 5945 0612,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl
873,Promethazine Hydrochloride and Codeine Phosphate,"Morton Grove Pharmaceuticals, Inc.",2020-03-06,2023-06-15,NO72 9292 0194 846,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae
874,Valacyclovir Hydrochloride,Greenstone LLC,2019-12-30,2023-06-17,GB55 JZUQ 8131 8627 0577 73,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis
875,OXYGEN,"Isis Medical, Inc.",2019-11-03,2023-01-26,AE88 9650 9353 3176 6736 265,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas
876,CETYLPYRIDINIUM CHLORIDE,HYVEE INC.,2020-06-02,2024-08-07,AL52 7086 9811 F1LK MPPE 2J6Z AGLN,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum
877,L-Cysteine Hydrochloride,Sandoz Inc,2019-09-11,2023-04-28,IL12 0946 8111 5732 7182 190,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis
878,ZINC OXIDE,WALGREEN CO.,2019-09-08,2024-01-22,SK38 7567 3282 9285 0491 4446,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus
879,Triamterene and Hydrochlorothiazide,REMEDYREPACK INC.,2019-10-09,2022-11-03,NO42 6750 3146 773,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris
880,Ketorolac Tromethamine,Sun Pharma Global Inc.,2020-07-01,2023-11-26,BR21 3635 1585 8240 9963 5447 996V I,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper
881,Potassium Chloride,"Upsher-Smith Laboratories, Inc.",2020-04-26,2022-10-05,PL05 6653 1742 0224 8358 9921 7483,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum
882,Irbesartan and Hydrochlorothiazide,Winthrop U.S.,2019-10-29,2024-01-17,IT10 M576 1026 0708 643R X69U VIT,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie
883,Penicillamine,"Aton Pharma, Inc.",2020-06-18,2024-08-13,SM35 Q064 5102 802D BPSZ FFQK L0D,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam
884,FLUDARABINE PHOSPHATE,"APP Pharmaceuticals, LLC",2020-06-18,2023-08-25,IT24 W864 7334 988M JEX1 K1QT IKD,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien
885,KETOROLAC TROMETHAMINE,REMEDYREPACK INC.,2020-07-05,2024-06-18,GE64 XJ08 8934 9871 3393 40,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam
886,"Acetaminophen, Chlorpehniramine HCl, Dextromethorphan HBr, Phenylephrine HCl",SUPERVALU INC.,2019-11-22,2024-07-18,MR95 0137 7506 3648 1774 8373 392,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus
